tokenID	Bit String	Type of Token	description	external_url	Starting Project	Unit	Deleverable	Years_Duration	Impact Type	SDGs	KML	Starting Date	Implementer Partner	Document Type	Internal Verification	IV_Document	Local Verification	Imv_Document	Project Type	Impact Unit
297	01100000100000001101000000101010101010000001101100000000000100101001000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
298	01100000100000001100111000101010101010000011100101000000000100101010000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
299	01100000100000011001011010101010101001111011001101000000000100101011000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
300	01100000100000001011101110101010101010000011010010100000000100101100000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
301	01100000100000010011000010101010101010000001010100000000000100101101000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
302	01100000100000011000100000101010101010000000010101100000000100101110000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
303	01100000100000010011110000101010101001111111011000000000000100101111000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
304	01100000100000010000010000101010101010000100001000000000000100110000000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
305	01100000100000010110000110101010101010000011100101000000000100110001000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
306	01100000100000011001001010101010101010000001001101100000000100110010000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
307	01100000100000001111011100101010101010000010110001100000000100110011000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
308	01100000100000010111011010101010101010000010010111100000000100110100000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
309	01100000100000001101000010101010101010000000000100000000000100110101000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
310	01100000100000001111101100101010101010000001100001100000000100110110000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
311	01100000100000010110100010101010101001111101001011100000000100110111000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
312	01100000100000010001001100101010101001111111100111100000000100111000000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
313	01100000100000010000000000101010101010000000001000100000000100111001000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
314	01100000100000010001011100101010101010000011011101000000000100111010000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
315	01100000100000011001100010101010101010000000110100000000000100111011000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
316	01100000100000010001011110101010101010000000011001000000000100111100000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
317	01100000100000001111100010101010101001111111010101100000000100111101000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
318	01100000100000001111011110101010101010000000011010000000000100111110000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
319	01100000100000010101111110101010101010000011110100000000000100111111000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
320	01100000100000011010110010101010101001111100010101000000000101000000000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
321	01100000100000001101111100101010101010000100001001000000000101000001000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
322	01100000100000011101110000101010101010000001101010000000000101000010000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
323	01100000100000011010111110101010101001111100000001000000000101000011000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
324	01100000100000011011010000101010101001111011101101100000000101000100000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
325	01100000100000010010011010101010101010000011110001000000000101000101000000000000000000000000011001000000000000000000000000000000000000000000	Legendary Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
326	01100000100000011111100010101010101001111101111111000000000101000110000000000000000000000000011001000000000000000000000000000000000000000000	Legendary Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
327	01100000100000011100001010101010101001111110001010000000000101000111000000000000000000000000011001000000000000000000000000000000000000000000	Legendary Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
